id,place_of_worship,grave_yard,school,post_office,childcare,university,courthouse,fire_station,library,police,public_building,cinema,toilets,bar,college,restaurant,fountain,fast_food,cafe,ice_cream,dentist,recycling,dojo,pharmacy,atm,clock,parking_entrance,bicycle_parking,car_rental,pub,veterinary,post_box,fuel,clinic,bench,bank,parking,social_facility,marketplace,sanitary_dump_station,telephone,nightclub,drinking_water,shower,bicycle_rental,charging_station,loading_dock,theatre,shelter,community_centre,car_wash,bicycle_repair_station,compressed_air,letter_box,bbq,doctors,planetarium,training,animal_boarding,internet_cafe,prep_school,gambling,driving_school,events_venue,waste_basket,parking_space,waste_disposal,weighbridge,public_bookcase,vending_machine,hospital,stage,ranger_station,animal_shelter,exhibition_centre,arts_centre,kindergarten,bus_station,townhall,prison,studio,payment_centre,house,bunker,office,commercial,residential,public,roof,dormitory,chapel,greenhouse,apartments,garage,shed,retail,static_caravan,church,terrace,service,industrial,pavilion,commercial;yes,stadium,hotel,cabin,warehouse,sports_centre,detached,boathouse,barn,riding_hall,construction,ship,ruins,ohca
872af6355ffffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0,1,14,0,0,0,0,0,0,84,75,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
872af6356ffffff,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925,0,0,23,42,0,0,0,0,0,111,153,126,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
872af6358ffffff,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,3,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,10,1,56,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1491,0,0,61,5,0,2,0,0,0,556,39,67,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
872af6359ffffff,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2947,0,0,24,12,0,0,0,0,0,387,24,58,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
872af635affffff,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1736,0,0,33,15,0,0,0,0,0,256,99,116,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
872af635bffffff,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,13,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1885,0,0,18,15,0,0,0,0,0,388,88,108,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
872af635cffffff,3,0,5,1,1,0,0,0,1,0,0,0,1,0,0,7,3,6,0,1,1,0,0,2,0,0,0,0,0,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1769,0,0,125,11,0,2,0,0,0,289,137,163,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
872af635dffffff,3,0,1,0,3,0,0,1,1,0,0,0,0,0,0,6,1,4,1,0,0,0,1,2,1,0,0,0,0,0,0,0,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2920,0,0,35,32,0,0,0,0,0,233,152,203,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
872af635effffff,3,0,2,1,0,1,0,1,0,0,0,1,1,1,0,22,4,17,4,2,2,0,0,1,0,0,3,0,0,1,0,0,3,1,6,8,97,0,1,0,0,0,1,0,0,1,0,2,11,0,0,0,0,0,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,598,0,0,192,31,0,2,0,0,0,319,77,80,4,163,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
872af6360ffffff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,1,4,0,0,0,0,0,0,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
